receita,arquivo,pagina_fonte,autor,licenca,url_licenca,titulo_wikimedia,status
Cuscuz nordestino fofinho,Cuscuz nordestino fofinho.jpg,https://commons.wikimedia.org/wiki/File:Cuscuz_nordestino.jpg,André Koehne,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Cuscuz nordestino.jpg,OK — conferir visualmente antes de publicar
Feijoada de panela,Feijoada de panela.jpg,"https://commons.wikimedia.org/wiki/File:Feijoada_(Brazilian_dish),_S%C3%A3o_Lu%C3%ADs,_Maranh%C3%A3o.jpg",Ridiculopathy,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,"File:Feijoada (Brazilian dish), São Luís, Maranhão.jpg",OK — conferir visualmente antes de publicar
Moqueca de peixe,Moqueca de peixe.jpg,https://commons.wikimedia.org/wiki/File:Moqueca_de_peixe_e_camarao_(7519822014).jpg,"Luca Nebuloni from Milan, Italy",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,File:Moqueca de peixe e camarao (7519822014).jpg,OK — conferir visualmente antes de publicar
Escondidinho de carne,Escondidinho de carne.jpg,https://commons.wikimedia.org/wiki/File:Escondidinho_de_carne_seca.jpg,"mpellegr from Barcelona, Spain",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,File:Escondidinho de carne seca.jpg,OK — conferir visualmente antes de publicar
Pão de queijo mineiro,Pão de queijo mineiro.jpg,https://commons.wikimedia.org/wiki/File:P%C3%A3o_de_Queijo_mineiro.JPG,Thácio,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Pão de Queijo mineiro.JPG,OK — conferir visualmente antes de publicar
Pastel de feira,Pastel de feira.jpg,https://commons.wikimedia.org/wiki/File:Pastel_-_Brazilian_fried_pastry.jpg,Mauro Cateb,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Pastel - Brazilian fried pastry.jpg,OK — conferir visualmente antes de publicar
Coxinha de frango,Coxinha de frango.jpg,https://commons.wikimedia.org/wiki/File:Coxinha_de_Frango_com_Catupiry.jpg,Túllio F,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Coxinha de Frango com Catupiry.jpg,OK — conferir visualmente antes de publicar
Bolo de cenoura com calda crocante,Bolo de cenoura com calda crocante.jpg,https://commons.wikimedia.org/wiki/File:Bolo_de_cenoura_com_chocolate_e_granulado.jpg,Sintegrity,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,File:Bolo de cenoura com chocolate e granulado.jpg,OK — conferir visualmente antes de publicar
Arroz de forno cremoso,Arroz de forno cremoso.jpg,https://commons.wikimedia.org/wiki/File:Arr%C3%B2s_al_forn_wiki.JPG,Avecendrell,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,File:Arròs al forn wiki.JPG,APROXIMADA — conferir prato/ingredientes
Picanha na chapa com farofa e vinagrete,Picanha na chapa com farofa e vinagrete.jpg,https://commons.wikimedia.org/wiki/File:GrilledPicanha.jpg,Darubrub,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,File:GrilledPicanha.jpg,OK — conferir visualmente antes de publicar
